kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
K00752.01,CONFIRMED,9.48803557,2.9575,615.8,2.26,93.59,793.0,0.146,35.8,5455.0,4.467,0.927,15.347
K00752.02,CONFIRMED,54.4183827,4.507,874.8,2.83,9.11,443.0,0.586,25.8,5455.0,4.467,0.927,15.347
K00753.01,CANDIDATE,19.89913995,1.7822,10829.0,14.6,39.3,638.0,0.969,76.3,5853.0,4.544,0.868,15.436
K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,891.96,1395.0,1.276,505.6,5805.0,4.564,0.791,15.597
K00755.01,CONFIRMED,2.525591777,1.6545,603.3,2.75,926.16,1406.0,0.701,40.9,6031.0,4.438,1.046,15.509
K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,3.9,114.81,835.0,0.538,66.5,6046.0,4.486,0.972,15.714
K00756.02,CONFIRMED,4.13443512,3.1402,686.0,2.77,427.65,1160.0,0.762,40.2,6046.0,4.486,0.972,15.714
K00756.03,CONFIRMED,2.56658897,2.429,226.5,1.59,807.74,1360.0,0.755,15.0,6046.0,4.486,0.972,15.714
K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,767.22,1342.0,1.169,47.7,6227.0,3.986,1.958,12.66
K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,5.76,30.75,600.0,0.052,161.9,5031.0,4.485,0.848,15.841
K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,13.04,761.46,1339.0,0.818,4304.3,5820.0,4.457,0.964,11.338
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,16.1,4148.92,2048.0,0.224,5945.9,6440.0,4.019,1.952,10.463
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,14.59,1264.67,1521.0,0.631,1741.5,6225.0,4.169,1.451,13.563
K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.16,500.46,1206.0,0.051,50.6,5833.0,4.407,1.022,12.772
K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.3,150.51,75.88,753.0,2.483,622.1,5795.0,4.554,0.848,15.472
K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,17.69,523.0,0.804,214.7,5043.0,4.591,0.68,15.487
K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,49.29,55.97,698.0,1.065,2317.0,6117.0,4.496,0.947,15.341
K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,7.94,29.61,595.0,0.292,303.4,5152.0,4.517,0.786,15.788
K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,2.47,41.85,649.0,0.387,87.2,4856.0,4.583,0.696,15.302
K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,2.85,50.04,678.0,0.258,65.4,4537.0,4.648,0.672,15.784
K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,305.34,1066.0,0.044,48.2,4989.0,4.504,0.819,15.269
K00749.01,CONFIRMED,5.349553819,3.0278,831.0,2.55,168.99,919.0,0.092,60.6,5185.0,4.44,0.91,15.416
